run,seed,nodes,committee,transport,fanout,slots,status,started_utc,finished_utc,elapsed_s,exit_code
750-top-stake-seats-announce-then-request-fall-s0,0,750,top-stake-seats,announce-then-request,all,400,passed,2026-09-10T07:51:12+00:00,2026-09-10T07:59:03+00:00,471.197,0
750-top-stake-seats-push-fall-s0,0,750,top-stake-seats,push,all,400,passed,2026-09-10T07:59:03+00:00,2026-09-10T08:07:14+00:00,491.375,0
750-top-stake-seats-push-late-dedupe-fall-s0,0,750,top-stake-seats,push-late-dedupe,all,400,passed,2026-09-10T08:07:15+00:00,2026-09-10T08:16:14+00:00,539.665,0
1500-top-stake-seats-announce-then-request-fall-s0,0,1500,top-stake-seats,announce-then-request,all,400,passed,2026-09-10T08:16:14+00:00,2026-09-10T08:39:24+00:00,1390.247,0
1500-top-stake-seats-push-fall-s0,0,1500,top-stake-seats,push,all,400,passed,2026-09-10T08:39:25+00:00,2026-09-10T09:02:22+00:00,1377.389,0
1500-top-stake-seats-push-late-dedupe-fall-s0,0,1500,top-stake-seats,push-late-dedupe,all,400,passed,2026-09-10T09:02:22+00:00,2026-09-10T09:26:27+00:00,1445.095,0
750-everyone-announce-then-request-fall-s0,0,750,everyone,announce-then-request,all,400,passed,2026-09-10T09:26:27+00:00,2026-09-10T09:38:05+00:00,697.930,0
750-everyone-push-fall-s0,0,750,everyone,push,all,400,passed,2026-09-10T09:38:05+00:00,2026-09-10T09:52:13+00:00,847.297,0
750-everyone-push-late-dedupe-fall-s0,0,750,everyone,push-late-dedupe,all,400,passed,2026-09-10T09:52:13+00:00,2026-09-10T10:06:15+00:00,842.403,0
1500-everyone-announce-then-request-fall-s0,0,1500,everyone,announce-then-request,all,400,passed,2026-09-10T10:06:15+00:00,2026-09-10T10:38:04+00:00,1909.264,0
1500-everyone-push-fall-s0,0,1500,everyone,push,all,400,passed,2026-09-10T10:38:04+00:00,2026-09-10T11:15:50+00:00,2265.760,0
1500-everyone-push-late-dedupe-fall-s0,0,1500,everyone,push-late-dedupe,all,400,passed,2026-09-10T11:15:50+00:00,2026-09-10T11:54:31+00:00,2321.144,0
750-top-stake-seats-announce-then-request-fall-s1,1,750,top-stake-seats,announce-then-request,all,400,passed,2026-09-10T11:54:31+00:00,2026-09-10T12:03:49+00:00,557.387,0
