id,name,role,stake,sent_bodies_messages,sent_bodies_bytes,sent_announcements_messages,sent_announcements_bytes,sent_requests_messages,sent_requests_bytes,sent_bytes,sent_mean_mbit_s,sent_peak_1s_mbit_s,sent_peak_window_start_s,received_bodies_messages,received_bodies_bytes,received_announcements_messages,received_announcements_bytes,received_requests_messages,received_requests_bytes,received_bytes,received_mean_mbit_s,received_peak_1s_mbit_s,received_peak_window_start_s
0,node-0,BP,63860774,8948,841112,0,0,0,0,841112,0.01682224,0.333136,67,17195,1616330,0,0,0,0,1616330,0.032326600000000004,0.641456,67
1,node-1,BP,63673213,8948,841112,0,0,0,0,841112,0.01682224,0.333136,67,17324,1628456,0,0,0,0,1628456,0.03256912,0.645216,67
2,node-10,relay,0,240548,22611512,0,0,0,0,22611512,0.45223024,8.957824,67,307203,28877082,0,0,0,0,28877082,0.5775416400000001,11.418368,67
3,node-100,BP,74130184,8948,841112,0,0,0,0,841112,0.01682224,0.333136,67,17063,1603922,0,0,0,0,1603922,0.03207844,0.63168,67
4,node-1000,BP,71180282,8948,841112,0,0,0,0,841112,0.01682224,0.333136,67,17812,1674328,0,0,0,0,1674328,0.03348656,0.663264,67
5,node-1001,BP,71163378,8948,841112,0,0,0,0,841112,0.01682224,0.333136,67,16081,1511614,0,0,0,0,1511614,0.03023228,0.597088,67
6,node-1002,BP,72695798,8948,841112,0,0,0,0,841112,0.01682224,0.333136,67,16452,1546488,0,0,0,0,1546488,0.03092976,0.613632,67
7,node-1003,relay,0,276676,26007544,0,0,0,0,26007544,0.52015088,10.301648,67,325156,30564664,0,0,0,0,30564664,0.61129328,12.106448,67
8,node-1004,relay,0,294157,27650758,0,0,0,0,27650758,0.55301516,10.95288,67,316237,29726278,0,0,0,0,29726278,0.59452556,11.779328,67
9,node-1005,relay,0,303316,28511704,0,0,0,0,28511704,0.5702340800000001,11.293536,67,404879,38058626,0,0,0,0,38058626,0.7611725199999999,15.07384,67
10,node-1006,relay,0,258065,24258110,0,0,0,0,24258110,0.4851622,9.609808,67,352675,33151450,0,0,0,0,33151450,0.663029,13.132928,67
11,node-1007,relay,0,274085,25763990,0,0,0,0,25763990,0.5152798,10.198624,67,297166,27933604,0,0,0,0,27933604,0.55867208,11.064928,67
12,node-1008,relay,0,267789,25172166,0,0,0,0,25172166,0.50344332,9.970768,67,315503,29657282,0,0,0,0,29657282,0.5931456399999999,11.747744,67
13,node-1009,relay,0,346268,32549192,0,0,0,0,32549192,0.65098384,12.891536,67,289395,27203130,0,0,0,0,27203130,0.5440626000000001,10.773904,67
14,node-101,BP,74078634,8948,841112,0,0,0,0,841112,0.01682224,0.333136,67,17014,1599316,0,0,0,0,1599316,0.03198632,0.630176,67
15,node-1010,relay,0,311066,29240204,0,0,0,0,29240204,0.58480408,11.583056,67,334511,31444034,0,0,0,0,31444034,0.62888068,12.454624,67
16,node-1011,relay,0,363851,34201994,0,0,0,0,34201994,0.6840398799999999,13.548032,67,353107,33192058,0,0,0,0,33192058,0.66384116,13.142704,67
17,node-1012,relay,0,337001,31678094,0,0,0,0,31678094,0.63356188,12.541856,67,370886,34863284,0,0,0,0,34863284,0.69726568,13.811232,67
18,node-1013,relay,0,272753,25638782,0,0,0,0,25638782,0.51277564,10.149744,67,334495,31442530,0,0,0,0,31442530,0.6288506,12.450864,67
19,node-1014,relay,0,292770,27520380,0,0,0,0,27520380,0.5504076,10.902496,67,346269,32549286,0,0,0,0,32549286,0.65098572,12.878752,67
20,node-1015,relay,0,292213,27468022,0,0,0,0,27468022,0.5493604400000001,10.878432,67,343203,32261082,0,0,0,0,32261082,0.64522164,12.778736,67
21,node-1016,relay,0,320618,30138092,0,0,0,0,30138092,0.60276184,11.939504,67,299665,28168510,0,0,0,0,28168510,0.5633702,11.15968,67
22,node-1017,relay,0,285295,26817730,0,0,0,0,26817730,0.5363546,10.623504,67,276737,26013278,0,0,0,0,26013278,0.52026556,10.303904,67
23,node-1018,relay,0,232102,21817588,0,0,0,0,21817588,0.43635176000000003,8.641984,67,285664,26852416,0,0,0,0,26852416,0.53704832,10.636288,67
24,node-1019,BP,78570315,8929,839326,0,0,0,0,839326,0.01678652,0.333136,67,16677,1567638,0,0,0,0,1567638,0.03135276,0.622656,67
25,node-102,BP,74075200,8948,841112,0,0,0,0,841112,0.01682224,0.333136,67,16873,1586062,0,0,0,0,1586062,0.031721240000000005,0.627168,67
26,node-1020,relay,0,321329,30204926,0,0,0,0,30204926,0.60409852,11.963568,67,289381,27201814,0,0,0,0,27201814,0.5440362799999999,10.776912,67
